rsi_period,oversold,overbought,score
35,90,10,57.48871018081235
70,80,5,47.42488922936299
70,80,10,47.42031364538888
90,90,5,43.94690530064128
90,90,10,43.94690530064128
90,95,10,43.94690530064128
90,95,5,43.94690530064128
70,95,5,41.48633632519406
70,90,5,41.48632031494722
70,95,10,41.33212892723176
70,90,10,41.33211288413806
180,80,20,38.52329922109088
180,80,10,38.52329922109088
180,80,5,38.52329922109088
180,70,20,38.49380263393931
180,70,10,38.49380263393931
180,70,5,38.49380263393931
180,60,20,38.43382448930553
70,70,10,38.246662105720034
90,80,5,38.19162510762645
70,60,10,37.88231431932483
90,80,10,37.83991677571103
70,60,20,37.17439769747657
180,60,30,36.7258462064728
180,60,10,36.48462146533083
180,60,5,36.48462146533083
70,70,5,36.33862076301363
90,60,5,36.09523259734189
90,70,5,36.07076319386261
35,70,5,35.912168024936754
90,60,10,35.873331557585686
90,70,10,35.81775555289755
70,60,5,35.70407418656693
70,70,20,35.05680193284145
90,60,20,34.55351533060112
35,80,5,34.41228105949542
35,70,10,34.14218497203426
90,70,20,32.36275241479674
35,60,5,32.33051263994435
90,70,30,32.19717073780407
35,80,10,32.11504754325448
35,60,10,30.61821889012822
70,70,30,29.799658130741395
35,90,5,28.854741347565977
90,80,30,28.25942881087816
180,80,30,27.62767993327864
90,60,30,24.12672075371898
70,80,30,21.554214031882434
180,70,40,18.698809906842538
90,80,20,17.80521011611923
35,80,20,12.15886249061129
35,90,20,10.600599197947629
70,60,30,8.485987106556246
35,95,5,6.096748411679828
70,95,20,5.6315861677217125
70,90,20,5.631539515612018
180,70,30,5.11347725549449
70,80,20,2.1641984363753526
35,70,20,1.9122552166768247
35,60,20,1.4362254268000765
180,90,20,0.0
180,95,10,0.0
180,90,40,0.0
180,90,5,0.0
180,95,20,0.0
180,90,10,0.0
180,95,30,0.0
180,90,30,0.0
180,95,5,0.0
180,95,40,0.0
14,90,5,-0.6867594156933603
90,70,40,-1.8041089218871085
35,95,10,-4.453334031540558
90,80,40,-6.220504302101991
14,80,5,-6.805118870000897
14,70,5,-7.888442751365872
14,95,5,-8.680666513734351
180,60,40,-8.845243088521885
14,60,5,-10.525279967472157
70,80,40,-11.082963241183569
70,95,40,-21.653954113803213
70,90,40,-21.654364779287903
90,95,40,-22.920153328702614
90,90,40,-22.920153328702614
90,95,20,-22.921339571927614
90,90,20,-22.921339571927614
90,90,30,-22.921340765020048
90,95,30,-22.921340765020048
70,70,40,-28.611241951183125
35,95,20,-31.62481154119761
35,90,30,-31.74363018074061
180,80,40,-31.94155286577263
35,95,30,-32.53799805292624
70,95,30,-35.689831449482995
70,90,30,-35.69011332329428
35,80,30,-37.336375678730725
14,90,10,-42.2387929054142
14,70,10,-46.1259896525546
14,60,10,-46.201295860739975
14,95,10,-46.27094116855447
14,80,10,-47.997194587384485
90,60,40,-55.461876074790936
7,60,5,-60.34239249779247
35,90,40,-61.16500909577909
7,70,5,-62.0364530764388
7,60,10,-62.51247310571618
35,60,30,-62.53404989580935
14,60,20,-64.87314901618714
7,80,5,-64.9806776536277
7,70,10,-65.26325822269548
7,60,20,-66.64610406596627
35,70,30,-68.50199436457056
14,70,20,-69.4261945701773
7,60,30,-69.71778662234529
7,80,10,-69.81219959935174
7,70,20,-71.02070914281599
7,60,40,-72.05311080049123
14,60,30,-72.11209941921928
7,90,5,-72.37821812373747
35,95,40,-72.5848795164516
70,60,40,-74.78284173907697
7,70,30,-75.4541893687107
35,80,40,-76.28324011125471
14,60,40,-78.21407689065786
7,80,20,-78.52691750334988
7,70,40,-79.05992135769426
14,70,30,-80.78581182874385
7,90,10,-81.36217334565151
7,95,5,-81.59839264877063
14,80,20,-81.90652319523963
35,60,40,-82.52659893558013
7,80,30,-85.18031357106236
14,70,40,-90.30658910374916
7,80,40,-90.83267382488869
7,95,10,-96.34183275573264
7,90,20,-96.42075162800263
14,80,30,-104.04763517389314
7,90,30,-107.91581144402336
14,90,20,-109.24803878534442
35,70,40,-110.5800253330376
7,90,40,-116.95861261283422
7,95,20,-119.31861671350174
14,95,20,-119.34252004637564
14,80,40,-120.37509535190851
7,95,30,-134.67840214598615
7,95,40,-147.47038342928647
14,90,30,-165.99188687811227
14,95,30,-188.45973327012
14,90,40,-200.3422602285561
14,95,40,-236.16860565430812
